Age,Previously_Insured,Vehicle_Damage,Annual_Premium,Vintage
25,1,0,35786.0,53
40,0,1,33762.0,111
47,0,1,40050.0,199
24,1,1,37356.0,187
27,1,0,59097.0,297
22,1,0,40207.0,266
51,1,0,40118.0,107
25,1,0,23375.0,232
42,0,1,2630.0,277
37,1,0,27124.0,133
40,1,0,2630.0,91
64,0,1,32051.0,254
23,1,0,27688.0,29
47,0,1,28739.0,22
55,0,1,2630.0,169
24,1,0,42261.0,270
25,0,1,42660.0,207
41,0,1,15006.0,141
26,1,0,46139.0,35
28,1,0,34907.0,293
26,1,0,33599.0,78
24,1,0,35885.0,177
21,0,1,33346.0,73
42,0,1,2630.0,270
58,0,1,41016.0,201
27,1,0,18806.0,107
21,1,0,29917.0,153
44,1,0,31197.0,141
40,1,0,45981.0,126
26,1,0,26686.0,230
70,0,1,36804.0,256
71,1,0,51563.0,113
64,1,0,47989.0,257
25,1,0,41680.0,288
24,0,1,24096.0,270
27,0,1,28010.0,273
24,1,0,37606.0,246
22,0,1,66667.0,118
22,1,0,25765.0,291
51,1,0,40224.0,198
45,0,1,36425.0,35
46,0,1,110611.0,204
23,1,0,2630.0,249
49,0,1,31233.0,129
38,0,1,45227.0,67
35,0,1,44473.0,11
20,1,0,34717.0,272
30,0,0,24180.0,168
54,0,1,23364.0,217
61,0,1,2630.0,32
53,0,1,48589.0,105
23,1,1,39313.0,221
23,1,0,39411.0,140
42,0,1,51844.0,126
24,1,0,30117.0,218
26,0,1,43937.0,260
23,0,1,40715.0,45
23,1,0,31585.0,246
24,1,0,30795.0,297
45,0,0,34610.0,198
25,1,0,2630.0,232
23,1,0,27183.0,16
40,0,1,32938.0,94
22,0,1,31550.0,60
25,1,0,39046.0,110
23,1,0,30504.0,234
50,1,0,29793.0,218
59,0,1,25826.0,244
23,0,1,25983.0,239
23,1,0,24145.0,255
62,0,0,32731.0,171
29,1,0,28803.0,163
45,0,1,55839.0,158
22,1,0,24057.0,192
24,1,1,41263.0,83
20,1,0,27058.0,198
36,0,1,43396.0,224
33,0,1,25982.0,24
65,0,1,29227.0,193
39,0,0,29337.0,26
44,1,0,16954.0,16
53,0,1,2630.0,272
20,0,1,47215.0,235
32,1,0,31251.0,195
21,0,1,22998.0,209
23,0,1,48697.0,220
26,1,0,58085.0,137
20,0,1,35374.0,271
38,0,1,24560.0,30
52,0,1,44300.0,268
24,1,0,36470.0,83
42,1,0,33415.0,243
39,0,1,34875.0,169
45,0,1,63701.0,130
26,0,1,2630.0,171
65,1,0,32270.0,137
35,0,0,36639.0,180
23,1,0,39308.0,226
20,0,1,40825.0,70
21,1,0,31878.0,283
60,0,1,39325.0,251
71,1,0,40432.0,49
51,0,1,49574.0,257
53,0,1,31243.0,241
57,0,1,2630.0,275
67,0,1,2630.0,113
25,0,1,2630.0,221
43,1,0,36336.0,241
38,0,1,23778.0,118
69,0,1,2630.0,231
74,1,1,28605.0,242
55,0,1,37187.0,290
21,1,0,27337.0,280
50,1,0,47657.0,85
49,0,1,2630.0,198
35,0,1,2630.0,41
52,0,1,29992.0,93
43,0,1,2630.0,250
20,0,1,22485.0,193
56,0,1,29200.0,146
25,1,0,26320.0,176
26,1,0,25808.0,135
30,0,1,30690.0,85
27,1,0,16457.0,186
39,0,1,60174.0,55
23,1,0,32924.0,13
23,0,1,27852.0,188
28,1,0,36920.0,24
21,1,0,42448.0,114
26,1,0,30115.0,160
21,1,0,23459.0,232
50,0,1,40641.0,63
28,1,0,40498.0,153
44,1,0,43151.0,175
23,0,1,21026.0,141
61,1,0,37953.0,55
46,0,1,36992.0,293
35,0,1,2630.0,232
25,1,0,19804.0,205
24,0,1,2630.0,123
24,1,0,21546.0,237
41,1,0,33603.0,87
25,1,0,20958.0,230
25,1,0,28625.0,80
61,1,0,2630.0,148
39,0,1,2630.0,221
41,0,1,26454.0,200
26,1,0,33798.0,63
53,1,1,21353.0,126
29,0,0,2630.0,194
25,0,0,30396.0,22
52,0,1,33944.0,13
43,0,1,35704.0,18
30,1,0,2630.0,83
43,0,1,27743.0,209
22,0,1,32497.0,138
22,1,0,28101.0,277
74,1,0,22623.0,233
57,1,0,26272.0,195
23,0,1,28589.0,296
53,0,1,2630.0,68
67,0,1,30477.0,290
23,1,0,26341.0,219
55,1,0,2630.0,243
22,1,0,33758.0,211
32,1,0,2630.0,44
27,0,1,49623.0,117
22,1,0,26138.0,135
25,0,1,2630.0,279
38,0,1,33196.0,55
29,1,0,24617.0,57
20,0,1,41983.0,203
24,1,0,22400.0,173
20,1,0,26871.0,52
49,0,1,45332.0,116
23,1,0,29688.0,237
64,1,0,2630.0,186
31,1,0,2630.0,244
44,0,1,18082.0,33
36,0,1,2630.0,85
38,0,1,52527.0,55
50,0,1,35346.0,61
24,0,1,46077.0,62
20,1,0,36046.0,280
27,0,1,2630.0,147
25,1,0,36667.0,60
42,0,1,32113.0,90
24,1,0,27776.0,167
37,1,0,38293.0,212
44,1,0,28110.0,247
44,0,0,46940.0,143
64,0,1,2630.0,100
24,1,0,35648.0,21
22,1,0,29452.0,183
51,1,0,27144.0,266
20,0,1,55236.0,12
49,0,1,40088.0,25
24,1,0,28374.0,208
33,0,1,2630.0,43
25,1,0,29208.0,253
28,0,1,30267.0,161
25,1,0,61002.0,266
21,1,0,24939.0,39
44,0,1,46671.0,94
61,0,0,42327.0,59
26,1,0,27868.0,246
53,0,1,61685.0,24
54,0,0,31390.0,86
28,0,1,2630.0,201
24,1,0,29579.0,125
22,0,1,52604.0,51
24,0,1,40921.0,112
64,0,1,29575.0,264
76,0,0,35996.0,175
65,1,0,47045.0,76
36,0,1,27610.0,35
25,1,0,34003.0,61
51,0,1,2630.0,218
26,1,0,71710.0,222
66,0,1,35386.0,129
47,1,0,34823.0,50
56,0,1,42395.0,44
24,1,0,27260.0,274
30,1,0,47952.0,194
30,1,0,28558.0,47
25,1,0,25271.0,36
24,1,0,29925.0,135
36,1,0,25277.0,11
51,0,1,37603.0,235
21,0,1,24007.0,122
42,1,0,36320.0,56
25,1,0,30690.0,13
22,1,0,19117.0,265
71,1,0,31940.0,207
37,0,1,31358.0,210
22,1,0,35692.0,88
20,0,1,30318.0,24
55,0,1,29018.0,126
21,1,0,2630.0,98
23,1,0,25325.0,169
22,1,0,33551.0,156
55,0,1,43852.0,227
49,1,0,2630.0,193
48,0,1,34720.0,218
32,1,0,36959.0,206
52,1,0,42774.0,63
25,1,0,61313.0,30
26,1,0,27084.0,230
46,1,0,31509.0,298
53,0,1,53230.0,122
67,0,1,34908.0,51
25,1,0,31659.0,17
45,0,0,38916.0,217
56,0,0,54290.0,273
61,1,0,51888.0,33
41,0,1,21252.0,47
44,0,1,35560.0,105
43,0,1,30498.0,279
30,1,0,2630.0,36
33,0,1,45268.0,209
45,1,0,33166.0,52
55,0,1,32560.0,82
71,0,1,34462.0,120
26,1,0,43724.0,110
26,0,1,30899.0,119
22,1,0,40635.0,289
63,0,1,51323.0,210
45,1,1,2630.0,198
54,0,1,38729.0,115
25,0,1,42478.0,45
26,1,0,50523.0,103
40,0,1,2630.0,82
40,0,1,31193.0,96
24,1,0,21429.0,105
58,0,1,93515.0,280
24,0,1,31253.0,188
56,0,1,45379.0,283
38,0,1,41743.0,20
53,0,1,49750.0,207
64,0,1,52823.0,149
76,0,1,41134.0,260
57,0,1,26818.0,91
41,0,1,38713.0,32
68,1,0,37895.0,121
39,1,0,2630.0,66
21,0,1,19593.0,86
23,1,0,2630.0,158
34,1,0,35109.0,202
21,1,0,41100.0,40
24,1,0,66490.0,15
33,1,0,32874.0,168
22,0,0,32489.0,188
44,0,1,30312.0,222
39,1,0,27815.0,75
20,0,1,21977.0,85
48,0,1,56409.0,103
31,0,1,46712.0,166
38,0,1,67319.0,61
68,0,1,2630.0,267
39,0,0,29248.0,114
55,1,0,35066.0,83
20,0,1,2630.0,136
21,0,1,33554.0,169
23,0,1,26886.0,163
59,0,1,31231.0,254
41,1,0,32522.0,236
23,1,0,29019.0,31
43,0,1,30471.0,72
29,1,0,35083.0,166
23,1,0,35448.0,42
24,1,0,27805.0,222
40,0,1,2630.0,157
77,0,1,61533.0,73
45,0,1,45171.0,151
49,1,0,55159.0,274
36,0,1,31091.0,239
27,1,1,2630.0,137
26,1,0,23500.0,127
41,0,1,38204.0,127
51,0,1,47843.0,126
38,0,1,25059.0,274
47,0,0,2630.0,214
24,0,1,35554.0,64
44,0,1,30567.0,108
24,1,0,2630.0,91
26,0,1,42220.0,280
50,0,1,47422.0,39
73,0,1,43458.0,95
30,0,1,2630.0,171
21,0,1,22941.0,282
